window_size,window_seconds,file_name,learning_rate,gamma,lambda,threshold_method,tau,val_loss,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
15,75,tranad_processed_tensors_w15.pt,0.002,0.7,0.3,Optimal_Val_F1,0.23693203926086426,0.23933703139690415,0.23106060606060605,0.8970588235294118,0.3674698795180723,0.8284986064251136,0.1994671605290039,0.556390977443609,0.8114035087719298,0.6601248884924175,0.7434210526315789,0.5706067633585141
10,50,tranad_processed_tensors_w10.pt,0.001,0.7,0.3,Optimal_Val_F1,0.22150759398937225,0.27016676031053066,0.23106060606060605,0.8970588235294118,0.3674698795180723,0.8183951884993399,0.1944946209903448,0.4268774703557312,0.47368421052631576,0.4490644490644491,0.7518608660379271,0.5820359326918769
5,25,tranad_processed_tensors_w5.pt,0.002,0.7,0.3,Optimal_Val_F1,0.19844679534435272,0.21584669261106423,0.23106060606060605,0.8970588235294118,0.3674698795180723,0.8253997359542321,0.20428866622696118,0.40289256198347106,0.4276315789473684,0.4148936170212766,0.7187404928506237,0.5452594219161533
15,75,tranad_processed_tensors_w15.pt,0.002,0.5,0.5,Optimal_Val_F1,0.2551352381706238,0.23933703139690415,0.23106060606060605,0.8970588235294118,0.3674698795180723,0.8246112659527651,0.19139782868930794,0.5548872180451128,0.8092105263157895,0.6583407671721677,0.7490442145826994,0.5710201091817422
15,75,tranad_processed_tensors_w15.pt,0.002,0.3,0.7,Optimal_Val_F1,0.2733384072780609,0.23933703139690415,0.23106060606060605,0.8970588235294118,0.3674698795180723,0.8188169282675664,0.1813762767630093,0.5542168674698795,0.8070175438596491,0.6571428571428571,0.7742990061859852,0.5929136547221253
20,100,tranad_processed_tensors_w20.pt,0.002,0.7,0.3,Optimal_Val_F1,0.24293152987957,0.2568234674898641,0.23018867924528302,0.8970588235294118,0.3663663663663664,0.8242445357195247,0.19774873176327648,0.4504672897196262,0.5285087719298246,0.4863773965691221,0.7427897779129906,0.5773680475229571
5,25,tranad_processed_tensors_w5.pt,0.002,0.3,0.7,Optimal_Val_F1,0.22869329154491425,0.21584669261106423,0.23018867924528302,0.8970588235294118,0.3663663663663664,0.8211456652486432,0.19329145116810093,0.4057377049180328,0.4342105263157895,0.4194915254237288,0.7189458472771524,0.5469230402692516
5,25,tranad_processed_tensors_w5.pt,0.002,0.5,0.5,Optimal_Val_F1,0.21357004344463348,0.21584669261106423,0.23018867924528302,0.8970588235294118,0.3663663663663664,0.8234744022297198,0.19844586102132553,0.4041237113402062,0.4298245614035088,0.4165781083953241,0.7183500659162357,0.5459894458285974
5,25,tranad_processed_tensors_w5.pt,0.001,0.3,0.7,Optimal_Val_F1,0.2027185708284378,0.21007394358249648,0.23018867924528302,0.8970588235294118,0.3663663663663664,0.8263899075839812,0.20368482394720472,0.4069529652351738,0.43640350877192985,0.4211640211640212,0.7280118649224216,0.5578878499908388
5,25,tranad_processed_tensors_w5.pt,0.001,0.5,0.5,Optimal_Val_F1,0.197392538189888,0.21007394358249648,0.23018867924528302,0.8970588235294118,0.3663663663663664,0.8275817808420127,0.20659803372324145,0.4057377049180328,0.4342105263157895,0.4194915254237288,0.7270079099482811,0.5561838725196913
5,25,tranad_processed_tensors_w5.pt,0.001,0.7,0.3,Optimal_Val_F1,0.1920665055513382,0.21007394358249648,0.23018867924528302,0.8970588235294118,0.3663663663663664,0.8280035206102391,0.20932434351851098,0.40451745379876797,0.43201754385964913,0.4178154825026511,0.7246197140249468,0.5535579963344499
5,25,tranad_processed_tensors_w5.pt,0.0005,0.5,0.5,Optimal_Val_F1,0.22938862442970276,0.261551144000675,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.7910371130996039,0.17900766355930678,0.561377245508982,0.8223684210526315,0.6672597864768683,0.7297611804076665,0.5411406454614652
15,75,tranad_processed_tensors_w15.pt,0.001,0.5,0.5,Optimal_Val_F1,0.23602762818336487,0.26603718168501345,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.7983167082294265,0.18228028664618243,0.4189723320158103,0.4649122807017544,0.4407484407484408,0.7450131832471352,0.5781698435979112
5,25,tranad_processed_tensors_w5.pt,0.0005,0.7,0.3,Optimal_Val_F1,0.22319503128528595,0.261551144000675,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.7968864603197888,0.18196366271509068,0.4362934362934363,0.4956140350877193,0.46406570841889117,0.7287369435148565,0.5396069824050539
15,75,tranad_processed_tensors_w15.pt,0.001,0.7,0.3,Optimal_Val_F1,0.22093157470226288,0.26603718168501345,0.22932330827067668,0.8970588235294118,0.3652694610778443,0.8021490391667889,0.18877398642696402,0.41699604743083,0.46271929824561403,0.4386694386694387,0.7453858635026873,0.5799804126094253
